Test_Case,Number_of_Points,Execution Time,Execution Time on CPU
1,1,00:00:00:00000000,00:00:00:00000000
2,2,00:00:00:00000000,00:00:00:00000000
3,3,00:00:00:00000000,00:00:00:00000000
4,4,00:00:00:00000000,00:00:00:00000000
5,5,00:00:00:00000000,00:00:00:00000000
6,6,00:00:00:00000000,00:00:00:00000000
7,7,00:00:00:00000000,00:00:00:00000000
8,8,00:00:00:00000000,00:00:00:00000000
9,9,00:00:00:00000000,00:00:00:00000000
10,10,00:00:00:00000000,00:00:00:00000000
11,31,00:00:00:00000000,00:00:00:00000000
12,32,00:00:00:00000000,00:00:00:00000000
13,33,00:00:00:00000000,00:00:00:00000000
14,34,00:00:00:00000000,00:00:00:00000000
15,35,00:00:00:00000000,00:00:00:00000000
16,36,00:00:00:00000000,00:00:00:00000000
17,37,00:00:00:00000000,00:00:00:00000000
18,38,00:00:00:00000000,00:00:00:00000000
19,39,00:00:00:00000000,00:00:00:00000000
20,40,00:00:00:00000000,00:00:00:00000000
21,100,00:00:00:00000000,00:00:00:00000000
22,200,00:00:00:00000000,00:00:00:00000000
23,300,00:00:00:00000000,00:00:00:00000000
24,400,00:00:00:00000000,00:00:00:00000000
25,500,00:00:00:00000001,00:00:00:00000000
26,600,00:00:00:00000000,00:00:00:00000000
27,700,00:00:00:00000000,00:00:00:00000000
28,800,00:00:00:00000000,00:00:00:00000000
29,900,00:00:00:00000001,00:00:00:00000000
30,1000,00:00:00:00000000,00:00:00:00000000
31,2000,00:00:00:00000001,00:00:00:00000000
32,2500,00:00:00:00000001,00:00:00:00000000
33,3000,00:00:00:00000002,00:00:00:00000000
34,3500,00:00:00:00000002,00:00:00:00000015
35,4000,00:00:00:00000003,00:00:00:00000000
36,4500,00:00:00:00000002,00:00:00:00000000
37,5000,00:00:00:00000003,00:00:00:00000015
38,5500,00:00:00:00000005,00:00:00:00000000
39,6000,00:00:00:00000004,00:00:00:00000000
40,6500,00:00:00:00000006,00:00:00:00000000
41,7000,00:00:00:00000007,00:00:00:00000000
42,7500,00:00:00:00000011,00:00:00:00000000
43,8000,00:00:00:00000012,00:00:00:00000000
44,8500,00:00:00:00000009,00:00:00:00000015
45,9000,00:00:00:00000009,00:00:00:00000000
46,9500,00:00:00:00000008,00:00:00:00000000
47,10000,00:00:00:00000007,00:00:00:00000015
48,15000,00:00:00:00000014,00:00:00:00000015
49,20000,00:00:00:00000023,00:00:00:00000000
50,30000,00:00:00:00000034,00:00:00:00000046
51,40000,00:00:00:00000055,00:00:00:00000046
52,50000,00:00:00:00000052,00:00:00:00000062
53,60000,00:00:00:00000063,00:00:00:00000015
54,70000,00:00:00:00000088,00:00:00:00000093
55,80000,00:00:00:00000124,00:00:00:00000062
56,90000,00:00:00:00000098,00:00:00:00000109
57,100000,00:00:00:00000143,00:00:00:00000062
58,200000,00:00:00:00000332,00:00:00:00000250
59,300000,00:00:00:00000693,00:00:00:00000578
60,400000,00:00:00:00000840,00:00:00:00000687
61,500000,00:00:01:00000201,00:00:01:00000078
62,600000,00:00:01:00000441,00:00:01:00000375
63,700000,00:00:01:00000681,00:00:01:00000640
64,800000,00:00:01:00000992,00:00:01:00000953
65,900000,00:00:02:00000310,00:00:02:00000312
66,1000000,00:00:02:00000337,00:00:02:00000343
67,1500000,00:00:03:00000362,00:00:03:00000328
68,2000000,00:00:05:00000201,00:00:05:00000171
69,1,00:00:00:00000000,00:00:00:00000000
70,2,00:00:00:00000000,00:00:00:00000000
71,3,00:00:00:00000000,00:00:00:00000000
72,4,00:00:00:00000000,00:00:00:00000000
73,5,00:00:00:00000000,00:00:00:00000000
